EAL: Probing VFIO support...
EAL: PCI device 0000:05:00.0 on NUMA socket 0
EAL:   probe driver: 1137:43 net_enic
EAL: PCI device 0000:06:00.0 on NUMA socket 0
EAL:   probe driver: 1137:43 net_enic
EAL: PCI device 0000:07:00.0 on NUMA socket 0
EAL:   probe driver: 1137:43 net_enic
EAL: PCI device 0000:08:00.0 on NUMA socket 0
EAL:   probe driver: 1137:43 net_enic
EAL: PCI device 0000:0b:00.0 on NUMA socket 0
EAL:   Device is blacklisted, not initializing
EAL: PCI device 0000:0b:00.1 on NUMA socket 0
EAL:   probe driver: 8086:10fb net_ixgbe
EAL: PCI device 0000:84:00.0 on NUMA socket 1
EAL:   Device is blacklisted, not initializing
EAL: PCI device 0000:84:00.1 on NUMA socket 1
EAL:   Device is blacklisted, not initializing
Mempool size 512
Port 0 MAC: 90 e2 ba cb f5 39
Setting: core 9 checks queue 0
Initial lost packets: 0
RX rate: 9.49 Mpps, Total RX pkts: 69725544, Total dropped pkts: 0
RX rate: 9.49 Mpps, Total RX pkts: 79212932, Total dropped pkts: 0
RX rate: 9.48 Mpps, Total RX pkts: 88693132, Total dropped pkts: 0
RX rate: 9.48 Mpps, Total RX pkts: 98174208, Total dropped pkts: 0
RX rate: 9.48 Mpps, Total RX pkts: 107657332, Total dropped pkts: 0
RX rate: 9.48 Mpps, Total RX pkts: 117139988, Total dropped pkts: 0
RX rate: 9.48 Mpps, Total RX pkts: 126622324, Total dropped pkts: 0
RX rate: 9.48 Mpps, Total RX pkts: 136103376, Total dropped pkts: 0
RX rate: 9.48 Mpps, Total RX pkts: 145587412, Total dropped pkts: 0
RX rate: 9.49 Mpps, Total RX pkts: 155074560, Total dropped pkts: 0
RX rate: 9.48 Mpps, Total RX pkts: 164558188, Total dropped pkts: 0
RX rate: 9.48 Mpps, Total RX pkts: 174040320, Total dropped pkts: 0
RX rate: 9.49 Mpps, Total RX pkts: 183527952, Total dropped pkts: 0
RX rate: 9.49 Mpps, Total RX pkts: 193016276, Total dropped pkts: 0
RX rate: 9.48 Mpps, Total RX pkts: 202498816, Total dropped pkts: 0
RX rate: 9.48 Mpps, Total RX pkts: 211981836, Total dropped pkts: 0
RX rate: 9.48 Mpps, Total RX pkts: 221465172, Total dropped pkts: 0
RX rate: 9.48 Mpps, Total RX pkts: 230948596, Total dropped pkts: 0
RX rate: 9.48 Mpps, Total RX pkts: 240432020, Total dropped pkts: 0
RX rate: 9.48 Mpps, Total RX pkts: 249914880, Total dropped pkts: 0
RX rate: 9.48 Mpps, Total RX pkts: 259397240, Total dropped pkts: 0
RX rate: 9.48 Mpps, Total RX pkts: 268881132, Total dropped pkts: 0
RX rate: 9.49 Mpps, Total RX pkts: 278368036, Total dropped pkts: 0
RX rate: 9.48 Mpps, Total RX pkts: 287852728, Total dropped pkts: 0
RX rate: 9.49 Mpps, Total RX pkts: 297337748, Total dropped pkts: 0
RX rate: 9.48 Mpps, Total RX pkts: 306821156, Total dropped pkts: 0
RX rate: 9.49 Mpps, Total RX pkts: 316306872, Total dropped pkts: 0
RX rate: 9.49 Mpps, Total RX pkts: 325793280, Total dropped pkts: 0
RX rate: 9.48 Mpps, Total RX pkts: 335274996, Total dropped pkts: 0
RX rate: 9.49 Mpps, Total RX pkts: 344760792, Total dropped pkts: 0
RX rate: 9.49 Mpps, Total RX pkts: 354249784, Total dropped pkts: 0
RX rate: 9.49 Mpps, Total RX pkts: 363738968, Total dropped pkts: 0
RX rate: 9.49 Mpps, Total RX pkts: 373227776, Total dropped pkts: 0
RX rate: 9.49 Mpps, Total RX pkts: 382716052, Total dropped pkts: 0
RX rate: 9.49 Mpps, Total RX pkts: 392204336, Total dropped pkts: 0
RX rate: 9.49 Mpps, Total RX pkts: 401690420, Total dropped pkts: 0
RX rate: 9.48 Mpps, Total RX pkts: 411173492, Total dropped pkts: 0
RX rate: 9.48 Mpps, Total RX pkts: 420655764, Total dropped pkts: 0
RX rate: 9.49 Mpps, Total RX pkts: 430142464, Total dropped pkts: 0
RX rate: 9.49 Mpps, Total RX pkts: 439629824, Total dropped pkts: 0
RX rate: 9.49 Mpps, Total RX pkts: 449117244, Total dropped pkts: 0
RX rate: 9.49 Mpps, Total RX pkts: 458603728, Total dropped pkts: 0
RX rate: 9.49 Mpps, Total RX pkts: 468089204, Total dropped pkts: 0
RX rate: 9.49 Mpps, Total RX pkts: 477574572, Total dropped pkts: 0
RX rate: 9.48 Mpps, Total RX pkts: 487059211, Total dropped pkts: 0
RX rate: 9.48 Mpps, Total RX pkts: 496542556, Total dropped pkts: 0
RX rate: 9.48 Mpps, Total RX pkts: 506025216, Total dropped pkts: 0
RX rate: 9.48 Mpps, Total RX pkts: 515508736, Total dropped pkts: 0
RX rate: 9.48 Mpps, Total RX pkts: 524992292, Total dropped pkts: 0
RX rate: 9.48 Mpps, Total RX pkts: 534476236, Total dropped pkts: 0
RX rate: 9.49 Mpps, Total RX pkts: 543969292, Total dropped pkts: 0
RX rate: 9.49 Mpps, Total RX pkts: 553460212, Total dropped pkts: 0
RX rate: 9.49 Mpps, Total RX pkts: 562949876, Total dropped pkts: 0

Signal 2 received

Begin post processing...
START:1519822612.294307
16406: 59125300 (throughput: 981645.42 pps)  0: 0 (throughput: 0.00 pps) Hash: 1075185416 0: 0 (throughput: 0.00 pps)
33964: 32630474 (throughput: 541757.17 pps)  0: 0 (throughput: 0.00 pps) Hash: 2225874592 0: 0 (throughput: 0.00 pps)
45944: 7529760 (throughput: 125015.09 pps)  0: 0 (throughput: 0.00 pps) Hash: 3010998242 0: 0 (throughput: 0.00 pps)
60164: 30675185 (throughput: 509293.91 pps)  0: 0 (throughput: 0.00 pps) Hash: 3942921252 0: 0 (throughput: 0.00 pps)
56528: 15338120 (throughput: 254655.71 pps)  0: 0 (throughput: 0.00 pps) Hash: 3704634726 0: 0 (throughput: 0.00 pps)
49159: 39603604 (throughput: 657530.64 pps)  0: 0 (throughput: 0.00 pps) Hash: 3221702520 0: 0 (throughput: 0.00 pps)
63443: 2788252 (throughput: 46292.79 pps)  0: 0 (throughput: 0.00 pps) Hash: 4157820474 0: 0 (throughput: 0.00 pps)
44975: 20359401 (throughput: 338023.03 pps)  0: 0 (throughput: 0.00 pps) Hash: 2947503612 0: 0 (throughput: 0.00 pps)
39035: 21753895 (throughput: 361175.53 pps)  0: 0 (throughput: 0.00 pps) Hash: 2558221502 0: 0 (throughput: 0.00 pps)
1213: 48526933 (throughput: 805682.87 pps)  0: 0 (throughput: 0.00 pps) Hash: 79521488 0: 0 (throughput: 0.00 pps)
18769: 49086351 (throughput: 814970.78 pps)  0: 0 (throughput: 0.00 pps) Hash: 1230079176 0: 0 (throughput: 0.00 pps)
32389: 6135399 (throughput: 101864.79 pps)  0: 0 (throughput: 0.00 pps) Hash: 2122681738 0: 0 (throughput: 0.00 pps)
9977: 25099235 (throughput: 416717.53 pps)  0: 0 (throughput: 0.00 pps) Hash: 653891148 0: 0 (throughput: 0.00 pps)
4397: 18126411 (throughput: 300949.14 pps)  0: 0 (throughput: 0.00 pps) Hash: 288202510 0: 0 (throughput: 0.00 pps)
36331: 46297471 (throughput: 768667.57 pps)  0: 0 (throughput: 0.00 pps) Hash: 2381030752 0: 0 (throughput: 0.00 pps)
51520: 51596001 (throughput: 856637.99 pps)  0: 0 (throughput: 0.00 pps) Hash: 3376465080 0: 0 (throughput: 0.00 pps)
3578: 41835574 (throughput: 694587.59 pps)  0: 0 (throughput: 0.00 pps) Hash: 234546448 0: 0 (throughput: 0.00 pps)
14894: 9203521 (throughput: 152804.20 pps)  0: 0 (throughput: 0.00 pps) Hash: 976153682 0: 0 (throughput: 0.00 pps)
25170: 28445996 (throughput: 472283.13 pps)  0: 0 (throughput: 0.00 pps) Hash: 1649604500 0: 0 (throughput: 0.00 pps)
21894: 17009342 (throughput: 282402.67 pps)  0: 0 (throughput: 0.00 pps) Hash: 1434910422 0: 0 (throughput: 0.00 pps)
[Double Hash + Linked-list]: 20 flows with 571166225 packets

DPDK: Received pkts 571166225 
Dropped packets 0 
Erroneous packets 0

Queue 0 counter's value: 571166225
The time interval is 60.2308
