EAL: Probing VFIO support...
EAL: PCI device 0000:05:00.0 on NUMA socket 0
EAL:   probe driver: 1137:43 net_enic
EAL: PCI device 0000:06:00.0 on NUMA socket 0
EAL:   probe driver: 1137:43 net_enic
EAL: PCI device 0000:07:00.0 on NUMA socket 0
EAL:   probe driver: 1137:43 net_enic
EAL: PCI device 0000:08:00.0 on NUMA socket 0
EAL:   probe driver: 1137:43 net_enic
EAL: PCI device 0000:0b:00.0 on NUMA socket 0
EAL:   Device is blacklisted, not initializing
EAL: PCI device 0000:0b:00.1 on NUMA socket 0
EAL:   probe driver: 8086:10fb net_ixgbe
EAL: PCI device 0000:84:00.0 on NUMA socket 1
EAL:   Device is blacklisted, not initializing
EAL: PCI device 0000:84:00.1 on NUMA socket 1
EAL:   Device is blacklisted, not initializing
Mempool size 512
Port 0 MAC: 90 e2 ba cb f5 39
Setting: core 9 checks queue 0
Initial lost packets: 0
RX rate: 8.92 Mpps, Total RX pkts: 38340916, Total dropped pkts: 0
RX rate: 8.92 Mpps, Total RX pkts: 47265532, Total dropped pkts: 0
RX rate: 8.92 Mpps, Total RX pkts: 56190012, Total dropped pkts: 0
RX rate: 8.93 Mpps, Total RX pkts: 65115064, Total dropped pkts: 0
RX rate: 8.93 Mpps, Total RX pkts: 74040240, Total dropped pkts: 0
RX rate: 8.92 Mpps, Total RX pkts: 82965232, Total dropped pkts: 0
RX rate: 8.93 Mpps, Total RX pkts: 91890524, Total dropped pkts: 0
RX rate: 8.93 Mpps, Total RX pkts: 100815688, Total dropped pkts: 0
RX rate: 8.93 Mpps, Total RX pkts: 109740828, Total dropped pkts: 0
RX rate: 8.92 Mpps, Total RX pkts: 118665644, Total dropped pkts: 0
RX rate: 8.92 Mpps, Total RX pkts: 127590580, Total dropped pkts: 0
RX rate: 8.92 Mpps, Total RX pkts: 136514673, Total dropped pkts: 0
RX rate: 8.92 Mpps, Total RX pkts: 145438476, Total dropped pkts: 0
RX rate: 8.92 Mpps, Total RX pkts: 154360376, Total dropped pkts: 0
RX rate: 8.92 Mpps, Total RX pkts: 163285020, Total dropped pkts: 0
RX rate: 8.92 Mpps, Total RX pkts: 172209188, Total dropped pkts: 0
RX rate: 8.92 Mpps, Total RX pkts: 181131678, Total dropped pkts: 0
RX rate: 8.92 Mpps, Total RX pkts: 190053383, Total dropped pkts: 0
RX rate: 8.92 Mpps, Total RX pkts: 198975360, Total dropped pkts: 0
RX rate: 8.92 Mpps, Total RX pkts: 207897792, Total dropped pkts: 0
RX rate: 8.92 Mpps, Total RX pkts: 216820712, Total dropped pkts: 0
RX rate: 8.92 Mpps, Total RX pkts: 225744262, Total dropped pkts: 0
RX rate: 8.92 Mpps, Total RX pkts: 234667873, Total dropped pkts: 0
RX rate: 8.92 Mpps, Total RX pkts: 243591168, Total dropped pkts: 0
RX rate: 8.92 Mpps, Total RX pkts: 252513420, Total dropped pkts: 0
RX rate: 8.92 Mpps, Total RX pkts: 261436576, Total dropped pkts: 0
RX rate: 8.92 Mpps, Total RX pkts: 270359616, Total dropped pkts: 0
RX rate: 8.92 Mpps, Total RX pkts: 279282656, Total dropped pkts: 0
RX rate: 8.92 Mpps, Total RX pkts: 288205292, Total dropped pkts: 0
RX rate: 8.92 Mpps, Total RX pkts: 297128320, Total dropped pkts: 0
RX rate: 8.92 Mpps, Total RX pkts: 306051116, Total dropped pkts: 0
RX rate: 8.92 Mpps, Total RX pkts: 314973788, Total dropped pkts: 0
RX rate: 8.92 Mpps, Total RX pkts: 323896604, Total dropped pkts: 0
RX rate: 8.92 Mpps, Total RX pkts: 332819704, Total dropped pkts: 0
RX rate: 8.92 Mpps, Total RX pkts: 341742852, Total dropped pkts: 0
RX rate: 8.92 Mpps, Total RX pkts: 350665864, Total dropped pkts: 0
RX rate: 8.92 Mpps, Total RX pkts: 359588955, Total dropped pkts: 0
RX rate: 8.92 Mpps, Total RX pkts: 368512095, Total dropped pkts: 0
RX rate: 8.92 Mpps, Total RX pkts: 377435480, Total dropped pkts: 0
RX rate: 8.92 Mpps, Total RX pkts: 386358440, Total dropped pkts: 0
RX rate: 8.92 Mpps, Total RX pkts: 395280816, Total dropped pkts: 0
RX rate: 8.92 Mpps, Total RX pkts: 404204313, Total dropped pkts: 0
RX rate: 8.92 Mpps, Total RX pkts: 413127402, Total dropped pkts: 0
RX rate: 8.92 Mpps, Total RX pkts: 422050036, Total dropped pkts: 0
RX rate: 8.92 Mpps, Total RX pkts: 430972880, Total dropped pkts: 0
RX rate: 8.92 Mpps, Total RX pkts: 439895928, Total dropped pkts: 0
RX rate: 8.92 Mpps, Total RX pkts: 448818988, Total dropped pkts: 0
RX rate: 8.92 Mpps, Total RX pkts: 457741944, Total dropped pkts: 0
RX rate: 8.92 Mpps, Total RX pkts: 466664740, Total dropped pkts: 0
RX rate: 8.92 Mpps, Total RX pkts: 475585760, Total dropped pkts: 0
RX rate: 8.92 Mpps, Total RX pkts: 484508432, Total dropped pkts: 0
RX rate: 8.92 Mpps, Total RX pkts: 493431032, Total dropped pkts: 0
RX rate: 8.92 Mpps, Total RX pkts: 502353823, Total dropped pkts: 0
RX rate: 8.92 Mpps, Total RX pkts: 511276885, Total dropped pkts: 0
RX rate: 8.92 Mpps, Total RX pkts: 520199924, Total dropped pkts: 0
RX rate: 8.92 Mpps, Total RX pkts: 529122776, Total dropped pkts: 0

Signal 2 received

Begin post processing...
START:1519693401.764519
16406: 48753197 (throughput: 809908.08 pps)  0: 0 (throughput: 0.00 pps) Hash: 1075185416 0: 0 (throughput: 0.00 pps)
33964: 31521010 (throughput: 523639.93 pps)  0: 0 (throughput: 0.00 pps) Hash: 2225874592 0: 0 (throughput: 0.00 pps)
45944: 7247743 (throughput: 120402.48 pps)  0: 0 (throughput: 0.00 pps) Hash: 3010998242 0: 0 (throughput: 0.00 pps)
60164: 29598628 (throughput: 491704.53 pps)  0: 0 (throughput: 0.00 pps) Hash: 3942921252 0: 0 (throughput: 0.00 pps)
56528: 14667923 (throughput: 243669.55 pps)  0: 0 (throughput: 0.00 pps) Hash: 3704634726 0: 0 (throughput: 0.00 pps)
49159: 38098448 (throughput: 632907.02 pps)  0: 0 (throughput: 0.00 pps) Hash: 3221702520 0: 0 (throughput: 0.00 pps)
63443: 2678626 (throughput: 44498.43 pps)  0: 0 (throughput: 0.00 pps) Hash: 4157820474 0: 0 (throughput: 0.00 pps)
44975: 19687467 (throughput: 327056.27 pps)  0: 0 (throughput: 0.00 pps) Hash: 2947503612 0: 0 (throughput: 0.00 pps)
39035: 21019698 (throughput: 349187.83 pps)  0: 0 (throughput: 0.00 pps) Hash: 2558221502 0: 0 (throughput: 0.00 pps)
1213: 45036008 (throughput: 748156.61 pps)  0: 0 (throughput: 0.00 pps) Hash: 79521488 0: 0 (throughput: 0.00 pps)
18769: 46213170 (throughput: 767712.11 pps)  0: 0 (throughput: 0.00 pps) Hash: 1230079176 0: 0 (throughput: 0.00 pps)
32389: 5861330 (throughput: 97370.82 pps)  0: 0 (throughput: 0.00 pps) Hash: 2122681738 0: 0 (throughput: 0.00 pps)
9977: 24212836 (throughput: 402233.55 pps)  0: 0 (throughput: 0.00 pps) Hash: 653891148 0: 0 (throughput: 0.00 pps)
4397: 17452292 (throughput: 289924.62 pps)  0: 0 (throughput: 0.00 pps) Hash: 288202510 0: 0 (throughput: 0.00 pps)
36331: 44564769 (throughput: 740328.20 pps)  0: 0 (throughput: 0.00 pps) Hash: 2381030752 0: 0 (throughput: 0.00 pps)
51520: 47285361 (throughput: 785523.79 pps)  0: 0 (throughput: 0.00 pps) Hash: 3376465080 0: 0 (throughput: 0.00 pps)
3578: 40319981 (throughput: 669812.04 pps)  0: 0 (throughput: 0.00 pps) Hash: 234546448 0: 0 (throughput: 0.00 pps)
14894: 8945301 (throughput: 148603.00 pps)  0: 0 (throughput: 0.00 pps) Hash: 976153682 0: 0 (throughput: 0.00 pps)
25170: 27522575 (throughput: 457216.29 pps)  0: 0 (throughput: 0.00 pps) Hash: 1649604500 0: 0 (throughput: 0.00 pps)
21894: 16331446 (throughput: 271304.67 pps)  0: 0 (throughput: 0.00 pps) Hash: 1434910422 0: 0 (throughput: 0.00 pps)
[Double Hash + Linked-list]: 20 flows with 537017809 packets

DPDK: Received pkts 537017809 
Dropped packets 0 
Erroneous packets 0

Queue 0 counter's value: 537017809
The time interval is 60.1960
